"","report","term","count"
"1","100672_Ivvavik_National_Park_of_Canada.pdf","climate change",6
"2","100672_Ivvavik_National_Park_of_Canada.pdf","global warming",0
"3","100672_Ivvavik_National_Park_of_Canada.pdf","extreme events",0
"4","100672_Ivvavik_National_Park_of_Canada.pdf","natural variability",0
"5","100672_Ivvavik_National_Park_of_Canada.pdf","climate variability",0
"6","100676_Aulavik_National_Park_of_Canada.pdf","climate change",2
"7","100676_Aulavik_National_Park_of_Canada.pdf","global warming",0
"8","100676_Aulavik_National_Park_of_Canada.pdf","extreme events",0
"9","100676_Aulavik_National_Park_of_Canada.pdf","natural variability",0
"10","100676_Aulavik_National_Park_of_Canada.pdf","climate variability",0
"11","101417_Hudson Rocks ER_PS.pdf","climate change",0
"12","101417_Hudson Rocks ER_PS.pdf","global warming",0
"13","101417_Hudson Rocks ER_PS.pdf","extreme events",0
"14","101417_Hudson Rocks ER_PS.pdf","natural variability",0
"15","101417_Hudson Rocks ER_PS.pdf","climate variability",0
"16","101534_BoundaryBay_WMA_proposedMP.pdf","climate change",0
"17","101534_BoundaryBay_WMA_proposedMP.pdf","global warming",0
"18","101534_BoundaryBay_WMA_proposedMP.pdf","extreme events",0
"19","101534_BoundaryBay_WMA_proposedMP.pdf","natural variability",0
"20","101534_BoundaryBay_WMA_proposedMP.pdf","climate variability",0
"21","101586_Wapusk_National_Park_of_Canada.pdf","climate change",6
"22","101586_Wapusk_National_Park_of_Canada.pdf","global warming",0
"23","101586_Wapusk_National_Park_of_Canada.pdf","extreme events",0
"24","101586_Wapusk_National_Park_of_Canada.pdf","natural variability",0
"25","101586_Wapusk_National_Park_of_Canada.pdf","climate variability",0
"26","101597_Bligh Island Marine Provincial Park_PS_ZP.pdf","climate change",0
"27","101597_Bligh Island Marine Provincial Park_PS_ZP.pdf","global warming",0
"28","101597_Bligh Island Marine Provincial Park_PS_ZP.pdf","extreme events",0
"29","101597_Bligh Island Marine Provincial Park_PS_ZP.pdf","natural variability",0
"30","101597_Bligh Island Marine Provincial Park_PS_ZP.pdf","climate variability",0
"31","101598_mquqwin-brooks-mp.pdf","climate change",29
"32","101598_mquqwin-brooks-mp.pdf","global warming",0
"33","101598_mquqwin-brooks-mp.pdf","extreme events",0
"34","101598_mquqwin-brooks-mp.pdf","natural variability",0
"35","101598_mquqwin-brooks-mp.pdf","climate variability",0
"36","101635_Catala Island Marine Provincial Park_PS_ZP.pdf","climate change",0
"37","101635_Catala Island Marine Provincial Park_PS_ZP.pdf","global warming",0
"38","101635_Catala Island Marine Provincial Park_PS_ZP.pdf","extreme events",0
"39","101635_Catala Island Marine Provincial Park_PS_ZP.pdf","natural variability",0
"40","101635_Catala Island Marine Provincial Park_PS_ZP.pdf","climate variability",0
"41","101640_Epper Passage Provincial Park_PS_ZP.pdf","climate change",0
"42","101640_Epper Passage Provincial Park_PS_ZP.pdf","global warming",0
"43","101640_Epper Passage Provincial Park_PS_ZP.pdf","extreme events",0
"44","101640_Epper Passage Provincial Park_PS_ZP.pdf","natural variability",0
"45","101640_Epper Passage Provincial Park_PS_ZP.pdf","climate variability",0
"46","101645_Gods Pocket Marine Provincial Park_PS_ZP.pdf","climate change",0
"47","101645_Gods Pocket Marine Provincial Park_PS_ZP.pdf","global warming",0
"48","101645_Gods Pocket Marine Provincial Park_PS_ZP.pdf","extreme events",0
"49","101645_Gods Pocket Marine Provincial Park_PS_ZP.pdf","natural variability",0
"50","101645_Gods Pocket Marine Provincial Park_PS_ZP.pdf","climate variability",0
"51","101646_Gowlland Todd Provincial Park_MP.pdf","climate change",0
"52","101646_Gowlland Todd Provincial Park_MP.pdf","global warming",0
"53","101646_Gowlland Todd Provincial Park_MP.pdf","extreme events",0
"54","101646_Gowlland Todd Provincial Park_MP.pdf","natural variability",0
"55","101646_Gowlland Todd Provincial Park_MP.pdf","climate variability",0
"56","101651_Jebediah Island Marine Provincial Park_MP.pdf","climate change",0
"57","101651_Jebediah Island Marine Provincial Park_MP.pdf","global warming",0
"58","101651_Jebediah Island Marine Provincial Park_MP.pdf","extreme events",0
"59","101651_Jebediah Island Marine Provincial Park_MP.pdf","natural variability",0
"60","101651_Jebediah Island Marine Provincial Park_MP.pdf","climate variability",0
"61","101659_MarbleRiver_PP-BC_PS_ZP.pdf","climate change",0
"62","101659_MarbleRiver_PP-BC_PS_ZP.pdf","global warming",0
"63","101659_MarbleRiver_PP-BC_PS_ZP.pdf","extreme events",0
"64","101659_MarbleRiver_PP-BC_PS_ZP.pdf","natural variability",0
