Country,Grouping
Areas beyond national jurisdiction,ABNJ
Australia,Oceania
Bahamas,Caribbean
Barbados,Caribbean
Belize,Central America
Canada,Canada
Fiji,Oceania
Ghana,Africa
Gibraltar,Europe
Grenada,Caribbean
Ireland,Europe
Liberia,Africa
Malta,Europe
Marshall Islands,Oceania
Mauritius,Africa
Netherlands,Europe
New Zealand,Oceania
Philippines,Asia
Saint Helena,Africa
Seychelles,Africa
South Africa,Africa
Sri Lanka,Asia
St. Lucia,Caribbean
St. Vincent and the Grenadines,Caribbean
Sudan,Africa
Tanzania,Africa
Trinidad and Tobago,Caribbean
United Kingdom,UK
United States,USA
