report,sort_order,disc_of_climate_effects_on_park_ecological,disc_of_climate_effects_on_park_physical,disc_of_climate_effects_on_park_sociological,climate_objectives,climate_strategies_actions,detailed_methods,establishes_baseline_conditions,indicators,metrics,thresholds,targets,indicat_thresh_metrics_explicitly_linked_to_climate,commitment_to_climate_monitoring,references_other_monitoring,other_monitoring
2910_BakerIsland_NWR.pdf,1,yes,yes,no,yes,yes,no,planned,yes,yes,no,some,yes,yes,yes,NOAA
1064_Gulf_Islands_National_Seashore.pdf,2,yes,yes,yes,no,yes,no,planned,yes,yes,yes,no,no,yes,yes,National Park Service Climate Change Response Strategy
67767_Pitt_water_nature_reserve.pdf,3,yes,yes,no,yes,yes,no,planned,yes,yes,yes,yes,no,yes,no,
354076_South-east_commonwealth_marine_reserves_network.pdf,4,no,no,no,no,no,no,no,no,no,no,no,na,yes,yes,private and public research 
900738_TheDales.pdf,5,yes,yes,no,no,no,no,planned,yes,yes,planned,yes,no,yes,no,
555557008_Glannau_Mon_Cors_Heli_Anglesey Coast_Saltmarsh_SAC.pdf,6,no,yes,no,no,no,no,planned,yes,yes,some,yes,no,no,no,
29737_20140421_SLIPSP_ApprovedPlan.pdf,7,no,no,no,no,no,no,planned,yes,planned,no,some,no,yes,no,
312187_FlowerGarden.pdf,8,no,no,no,yes,no,no,planned,no,no,no,no,na,yes,no,
555586741_MonteraryBay_NMS.pdf,9,no,no,no,no,no,no,planned,no,no,no,no,na,yes,yes,
555586784_Monitor.pdf,10,no,no,no,no,no,no,planned,no,no,no,no,na,yes,no,
Advice_555556938_BraemarPockmarks_Combo.pdf,11,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,
555586745_Estero-Bay-AP-Management-Plan.pdf,12,no,yes,no,no,no,no,no,yes,planned,no,no,no,no,yes,Charlotte Harbor National Estuary Program
555556933_Berwickshire_and_North_Northumberland_Coast.pdf,13,no,no,no,no,no,no,planned,planned,planned,no,no,yes,yes,yes,UK MarClim project
555624212_Saba_Bank.pdf,14,yes,yes,no,no,no,no,yes,yes,no,no,no,no,yes,yes,Global Coral Reef Monitoring Network
13857_Supawna Meadows.pdf,15,yes,yes,no,no,no,no,planned,yes,planned,no,some,yes,yes,no,
555586803_Narrow River_SAMP_new.pdf,16,yes,yes,yes,no,no,no,yes,no,no,no,no,na,yes,no,
