"","Country","WDPAID","NAME","DESIG","PA.Name","paper","Grouping"
"4","Areas beyond national jurisdiction",555624810,"Ross Sea Region Marine Protected Area","Marine Protected Area (CCAMLR)","Ross Sea Region Marine Protected Area Marine Protected Area (CCAMLR)","555624810_Ross_Sea_Region_Marine_Protected_Area.pdf","ABNJ"
"8","Australia",354083,"Freycinet","Commonwealth Marine Reserve","Freycinet Commonwealth Marine Reserve","354076_South-east_commonwealth_marine_reserves_network.pdf","Oceania"
"9","Australia",26622,"Hosnie’s Spring","Ramsar Site, Wetland of International Importance","Hosnie’s Spring Ramsar Site, Wetland of International Importance","26622_HosniesSpring.pdf","Oceania"
"10","Australia",166861,"Pulu Keeling National Park","Ramsar Site, Wetland of International Importance","Pulu Keeling National Park Ramsar Site, Wetland of International Importance","166861_Pulu_Keeling_national_park.pdf","Oceania"
"11","Australia",354082,"Franklin","Commonwealth Marine Reserve","Franklin Commonwealth Marine Reserve","354076_South-east_commonwealth_marine_reserves_network.pdf","Oceania"
"12","Australia",900735,"Coral Sea Reserves (Coringa-Herald and Lihou Reefs and Cays)","Ramsar Site, Wetland of International Importance","Coral Sea Reserves (Coringa-Herald and Lihou Reefs and Cays) Ramsar Site, Wetland of International Importance","900735_Coringa_Herald_national_nature_reserve_and_Lihou_reef_national_nature_reserve.pdf","Oceania"
"13","Australia",354089,"South Tasman Rise","Commonwealth Marine Reserve","South Tasman Rise Commonwealth Marine Reserve","354076_South-east_commonwealth_marine_reserves_network.pdf","Oceania"
"14","Australia",555558376,"Piccaninnie Ponds Karst Wetlands","Ramsar Site, Wetland of International Importance","Piccaninnie Ponds Karst Wetlands Ramsar Site, Wetland of International Importance","555558376_Piccaninnie_ponds_karst_wetlands.pdf","Oceania"
"16","Australia",67767,"Pitt Water-Orielton Lagoon","Ramsar Site, Wetland of International Importance","Pitt Water-Orielton Lagoon Ramsar Site, Wetland of International Importance","67767_Pitt_water_nature_reserve.pdf","Oceania"
"17","Australia",354077,"Beagle","Commonwealth Marine Reserve","Beagle Commonwealth Marine Reserve","354076_South-east_commonwealth_marine_reserves_network.pdf","Oceania"
"19","Australia",900733,"Ashmore Reef National Nature Reserve","Ramsar Site, Wetland of International Importance","Ashmore Reef National Nature Reserve Ramsar Site, Wetland of International Importance","900733_Ashmore_reef_national_nature_reserve_and_cartier_island_plan_marine_reserve_management_plans.pdf","Oceania"
"23","Australia",354085,"Huon","Commonwealth Marine Reserve","Huon Commonwealth Marine Reserve","354076_South-east_commonwealth_marine_reserves_network.pdf","Oceania"
