NAME,DESIG,NEW_DESIG
Glannau Môn: Cors heli / Anglesey Coast: Saltmarsh,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Braemar Pockmarks,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Berwickshire and North Northumberland Coast,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Faroe-Shetland Sponge Belt,Marine Protected Area (OSPAR),Nature Conservation MPA
Red Bay,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
East of Gannet & Montrose Fields,Marine Protected Area (OSPAR),Nature Conservation MPA
Anton Dohrn Seamount,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
East Rockall Bank,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
South West Deeps (West),Marine Protected Area (OSPAR),Marine Conservation Zone
Firth of Forth Banks Complex,Marine Protected Area (OSPAR),Nature Conservation MPA
East Mingulay,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
The Dee Estuary,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Murlough,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
North Norfolk Sandbanks and Saturn Reef,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
North West Rockall Bank,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Norwegian Boundary Sediment Plain,Marine Protected Area (OSPAR),Nature Conservation MPA
Cardigan Bay / Bae Ceredigion,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
North-east Faroe-Shetland Channel,Marine Protected Area (OSPAR),Nature Conservation MPA
Deben Estuary,Marine Protected Area (OSPAR),Special Protection Area (Birds Directive)
The Barra Fan and Hebrides Terrace Seamount,Marine Protected Area (OSPAR),Nature Conservation MPA
Solway Firth,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Rosemary Bank Seamount,Marine Protected Area (OSPAR),Nature Conservation MPA
Rathlin Island,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Limestone Coast of South West Wales / Arfordir Calchfaen de Orllewin Cymru,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Gibraltar Point,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
North Norfolk Coast,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
The Wash,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
The Wash and North Norfolk Coast,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Hatton-Rockall Basin,Marine Protected Area (OSPAR),Nature Conservation MPA
North East of Farnes Deep,Marine Protected Area (OSPAR),Marine Conservation Zone
Duddon Estuary,Marine Protected Area (OSPAR),Special Protection Area (Birds Directive)
Skerries and Causeway,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Lundy,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Bassurelle sandbank,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Hatton Bank,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Loch nam Madadh,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Bae Caerfyrddin / Carmarthen Bay,Marine Protected Area (OSPAR),Special Area of Conservation (Habitats Directive)
Colne Estuary (Mid-Essex Coast Phase 2),Marine Protected Area (OSPAR),"Ramsar Site, Wetland of International Importance"
