country,region,plan_name,pub_yr,MPA,MPA_designation,climate_considering,climate_robustness_score
Areas beyond national jurisdiction,Antarctica,Conservation Measure - Ross Sea Region Marine Protected Area,2016,Ross Sea Region Marine Protected Area,Marine Protected Area,yes,10
Australia,Oceania,Ashmore Reef National Nature Reserve and Cartier Island Marine Reserve Management Plans,2002,Ashmore Reef National Nature Reserve,National Nature Reserve,no,NA
Australia,Oceania,Ashmore Reef National Nature Reserve and Cartier Island Marine Reserve Management Plans,2002,"Ashmore Reef Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
Australia,Oceania,Ashmore Reef National Nature Reserve and Cartier Island Marine Reserve Management Plans,2002,Cartier Bay Marine Reserve,Marine Reserve,no,NA
Australia,Oceania,Bowling Green Bay National Park Management Plan,2000,Bowling Green Bay National Park,National Park,no,NA
Australia,Oceania,Bowling Green Bay National Park Management Plan,2000,"Bowling Green Bay Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
Australia,Oceania,Coringa-Herald National Nature Reserve & Lihou Reef National Nature Reserve Management Plan,2001,Coral Sea Reserves (Coringa-Herald & Lihou Reefs and Cays) Marine Park,Marine Park,no,NA
Australia,Oceania,Coringa-Herald National Nature Reserve & Lihou Reef National Nature Reserve Management Plan,2001,"Coral Sea Reserves Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
Australia,Oceania,Corner Inlet Marine National Park Management Plan,2005,Corner Inlet Marine National Park,Marine National Park,no,NA
Australia,Oceania,Corner Inlet Marine National Park Management Plan,2005,"Corner Inlet Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
Australia,Oceania,Department for Environment and Heritage Ramsar Management Plan - Piccaninnie Ponds Karst Wetlands,2011,"Piccaninnie Ponds Karst Wetlands Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,9
Australia,Oceania,Eighty Mile Beach Marine Park Management Plan,2014,Eighty Mile Beach Marine Park,Marine Park,yes,12
Australia,Oceania,Eighty Mile Beach Marine Park Management Plan,2014,"Eighty Mile Beach Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,12
Australia,Oceania,Great Sandy Region Management Plan,2005,"Great Sandy Strait (including Great Sandy Strait, Tin Can Bay and Tin Can Inlet) Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
Australia,Oceania,Hosnie's Spring Ramsar Site Ecological Character Description,2010,"Hosnie's Spring Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,10
Australia,Oceania,Kakadu National Park Management Plan,2016,"Kakadu Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,19
Australia,Oceania,"Moreton Island National Park, Cape Moreton Conservation Park & Moreton Island Recreation Area Management Plan",2007,Moreton Bay Marine Park,Marine Park,no,NA
Australia,Oceania,"Moreton Island National Park, Cape Moreton Conservation Park & Moreton Island Recreation Area Management Plan",2007,"Moreton Bay Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",no,NA
Australia,Oceania,Pitt Water Nature Reserve Management Plan,2010,"Pitt Water-Orielton Lagoon Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,17
Australia,Oceania,Pitt Water Nature Reserve Management Plan,2010,Pitt Water Nature Reserve,Nature Reserve,yes,17
Australia,Oceania,Pulu Keeling National Park Management Plan,2004,Pulu Keeling National Park,National Park,yes,5
Australia,Oceania,Pulu Keeling National Park Management Plan,2004,"Pulu Keeling Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",yes,5
Australia,Oceania,Reef 2050 Long-Term Sustainability Plan,2018,Great Barrier Reef Marine Park,Marine Park,yes,19
Australia,Oceania,South-east Commonwealth Marine Reserves Network Management Plan,2013,Apollo Commonwealth Marine Reserve,Commonwealth Marine Reserve,yes,4
Australia,Oceania,South-east Commonwealth Marine Reserves Network Management Plan,2013,Beagle Commonwealth Marine Reserve,Commonwealth Marine Reserve,yes,4
Australia,Oceania,South-east Commonwealth Marine Reserves Network Management Plan,2013,Boags Commonwealth Marine Reserve,Commonwealth Marine Reserve,yes,4
Australia,Oceania,South-east Commonwealth Marine Reserves Network Management Plan,2013,East Gippsland Commonwealth Marine Reserve,Commonwealth Marine Reserve,yes,4
Australia,Oceania,South-east Commonwealth Marine Reserves Network Management Plan,2013,Flinders Commonwealth Marine Reserve,Commonwealth Marine Reserve,yes,4
Australia,Oceania,South-east Commonwealth Marine Reserves Network Management Plan,2013,Franklin Commonwealth Marine Reserve,Commonwealth Marine Reserve,yes,4
Australia,Oceania,South-east Commonwealth Marine Reserves Network Management Plan,2013,Freycinet Commonwealth Marine Reserve,Commonwealth Marine Reserve,yes,4
